start	end
2-Jan-1993	6-Aug-1993
6-Apr-2006	26-Oct-2006
1-Feb-2007	6-Mar-2007
25-Oct-2007	27-Dec-2007
06-Jun-2008	26-Sep-2008
1-Feb-2009	18-Mar-2009
31-Dec-2010	06-Feb-2011
26-Apr-2012	19-Jul-2012
